⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=500304607.997 (n=10)
  OK 装備lift:accA_t2_v4           中央値比=3.089 (n=2, S13)
  OK 装備lift:accA_t2_v6           中央値比=6.272650170412674e+21 (n=2, S15)
  OK 装備lift:accA_t2_v7           中央値比=2.114 (n=1, S7)
  OK 装備lift:accB_t2_v1           中央値比=13225109423399444480.000 (n=1, S9)
  OK 装備lift:accB_t2_v6           中央値比=3.612548814631002e+22 (n=1, S5)
  OK 装備lift:accB_t2_v8           中央値比=259344.220 (n=2, S17)
  OK 装備lift:weapon_t3_v1         中央値比=2.303 (n=5, S14)
  OK 装備lift:weapon_t3_v4         中央値比=94.025 (n=2, S10)
  OK 装備lift:weapon_t3_v6         中央値比=29598456246997052.000 (n=3, S17)
  OK 装備lift:shield_t3_v1         中央値比=725578.553 (n=3, S15)
  OK 装備lift:shield_t3_v4         中央値比=900561405880077.625 (n=6, S15)
  OK 装備lift:armorTop_t3_v1       中央値比=33416692.579 (n=4, S14)
  OK 装備lift:armorTop_t3_v4       中央値比=29598456246997052.000 (n=11, S17)
  OK 装備lift:armorBottom_t3_v1    中央値比=240845858440594.688 (n=2, S13)
  OK 装備lift:armorBottom_t3_v4    中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:armorBottom_t3_v6    中央値比=3.417142515152181e+21 (n=10, S17)
  OK 装備lift:hands_t3_v1          中央値比=3.3461899706797367e+22 (n=2, S12)
  OK 装備lift:hands_t3_v4          中央値比=3829563615493671424.000 (n=1, S15)
  OK 装備lift:hat_t3_v1            中央値比=44.315 (n=1, S11)
  OK 装備lift:hat_t3_v3            中央値比=2.3946199406778024e+26 (n=1, S6)
  OK 装備lift:hat_t3_v6            中央値比=301928423396022912.000 (n=1, S14)
  OK 装備lift:shoes_t3_v4          中央値比=157048299449625149440.000 (n=1, S2)
  OK 装備lift:shoes_t3_v6          中央値比=1.197309970446285e+26 (n=2, S15)
  OK 装備lift:accA_t3_v1           中央値比=8.799235931798636e+52 (n=1, S9)
  OK 装備lift:accA_t3_v4           中央値比=6740.426 (n=3, S13)
  OK 装備lift:accA_t3_v6           中央値比=3.123886704271122e+22 (n=4, S14)
  OK 装備lift:accB_t3_v4           中央値比=2.3946199406778024e+26 (n=1, S6)
  OK 装備lift:accB_t3_v6           中央値比=1724311963474006.750 (n=2, S13)
  OK 装備lift:accB_t3_v9           中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:weapon_t4_v1         中央値比=13225109423399444480.000 (n=5, S15)
  OK 装備lift:weapon_t4_v4         中央値比=8.799235931798636e+52 (n=1, S9)
  OK 装備lift:shield_t4_v1         中央値比=4248378191511623168.000 (n=3, S14)
  OK 装備lift:shield_t4_v4         中央値比=78498202065162.078 (n=7, S17)
  OK 装備lift:shield_t4_v9         中央値比=154.880 (n=1, S13)
  OK 装備lift:armorTop_t4_v1       中央値比=1664179774749169.750 (n=5, S13)
  OK 装備lift:armorTop_t4_v4       中央値比=52849727594505.320 (n=9, S17)
  OK 装備lift:armorBottom_t4_v1    中央値比=221744174.930 (n=1, S12)
  OK 装備lift:armorBottom_t4_v6    中央値比=3.785799793870759e+23 (n=3, S17)
  OK 装備lift:armorBottom_t4_v9    中央値比=301928423396022912.000 (n=1, S14)
  OK 装備lift:hands_t4_v1          中央値比=1676320389.572 (n=1, S11)
  OK 装備lift:hands_t4_v4          中央値比=1.6198074147636933e+35 (n=1, S5)
  OK 装備lift:hands_t4_v6          中央値比=3.028028169967309e+23 (n=8, S17)
  OK 装備lift:hat_t4_v1            中央値比=23710042338177.457 (n=1, S1)
  OK 装備lift:hat_t4_v6            中央値比=1.245292154239803e+31 (n=11, S15)
  OK 装備lift:shoes_t4_v4          中央値比=5.863128057867516e+28 (n=1, S2)
  OK 装備lift:shoes_t4_v6          中央値比=183270387385170165760.000 (n=8, S17)
  OK 装備lift:shoes_t4_v9          中央値比=3.590373982394097e+23 (n=1, S11)
  OK 装備lift:accA_t4_v4           中央値比=1.5405477884607691e+21 (n=2, S12)
  OK 装備lift:accA_t4_v6           中央値比=1.0934595624265922e+25 (n=2, S13)
  OK 装備lift:accA_t4_v9           中央値比=52849727594505.320 (n=1, S7)
  OK 装備lift:accB_t4_v4           中央値比=366511176314093305856.000 (n=3, S13)
  OK 装備lift:accB_t4_v6           中央値比=9.558457213087352e+32 (n=2, S12)
  OK 装備lift:accB_t4_v9           中央値比=3829563615493671424.000 (n=1, S15)
  OK 装備lift:weapon_t5_v1         中央値比=344748679870203.875 (n=9, S14)
  OK 装備lift:weapon_t5_v4         中央値比=1.528772377588285e+21 (n=6, S17)
  OK 装備lift:weapon_t5_v6         中央値比=3.0800541225756097e+31 (n=2, S17)
  OK 装備lift:shield_t5_v1         中央値比=1.0934595624265922e+25 (n=2, S13)
