⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=25819849.249 (n=10)
  OK 料理:chocoFondant          S14 中央値比=1000000000.000 (n=8)
  OK 料理:mintIce               S10 中央値比=1000000000.000 (n=7)
  OK 料理:hunterStew            S11 中央値比=1000000000.000 (n=8)
  OK 料理:frostCake             S8 中央値比=504140265.322 (n=8)
  OK 料理:stardustParfait       S8 中央値比=1000000000.000 (n=6)
  OK 料理:voidTart              S11 中央値比=1000000000.000 (n=3)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S2 中央値比=1000000000.000 (n=6)
  OK 注文報酬:materials           S11 中央値比=1000000000.000 (n=6)
  OK 注文報酬:boost               S2 中央値比=1000000000.000 (n=5)
㉙ 合計 3/3
新装備(a) 装備lift(取得後全周回の中央値比≥1.5・装備は周回跨ぎで永続)
  OK 装備lift:weapon_t1_v1         中央値比=2928465.497 (n=2, S15)
  OK 装備lift:weapon_t1_v3         中央値比=416.559 (n=2, S4)
  OK 装備lift:weapon_t1_v5         中央値比=4.815 (n=1, S13)
  OK 装備lift:weapon_t1_v8         中央値比=2.114 (n=1, S7)
  OK 装備lift:weapon_t1_v9         中央値比=2723.943 (n=2, S17)
  OK 装備lift:shield_t1_v1         中央値比=3.548 (n=16, S17)
  OK 装備lift:shield_t1_v3         中央値比=3.492 (n=2, S13)
  OK 装備lift:shield_t1_v6         中央値比=351597.292 (n=2, S13)
  OK 装備lift:armorTop_t1_v3       中央値比=2.784 (n=6, S17)
  OK 装備lift:armorTop_t1_v4       中央値比=4.815 (n=1, S13)
  OK 装備lift:armorTop_t1_v5       中央値比=10.095 (n=1, S11)
  OK 装備lift:armorTop_t1_v6       中央値比=1.2546534093524644e+22 (n=1, S3)
  OK 装備lift:armorBottom_t1_v1    中央値比=3.124 (n=24, S17)
  OK 装備lift:armorBottom_t1_v3    中央値比=1.8612130063274662e+41 (n=1, S14)
  OK 装備lift:armorBottom_t1_v4    中央値比=31128.834 (n=2, S13)
  OK 装備lift:armorBottom_t1_v5    中央値比=3641.131 (n=2, S10)
  OK 装備lift:armorBottom_t1_v6    中央値比=21048052956618036.000 (n=9, S15)
  OK 装備lift:armorBottom_t1_v9    中央値比=206633195996062.063 (n=1, S14)
  OK 装備lift:hands_t1_v1          中央値比=4.254 (n=8, S15)
  OK 装備lift:hands_t1_v2          中央値比=2.112 (n=1, S6)
  OK 装備lift:hands_t1_v3          中央値比=2.114 (n=1, S7)
  OK 装備lift:hands_t1_v4          中央値比=2723.943 (n=2, S17)
  OK 装備lift:hands_t1_v6          中央値比=3641.131 (n=2, S10)
  OK 装備lift:hands_t1_v8          中央値比=2.177 (n=3, S7)
  OK 装備lift:hands_t1_v9          中央値比=4.815 (n=1, S13)
  OK 装備lift:hat_t1_v1            中央値比=2.899 (n=19, S17)
  OK 装備lift:hat_t1_v2            中央値比=1.8059238150448995e+22 (n=2, S14)
  OK 装備lift:hat_t1_v3            中央値比=724707.500 (n=3, S15)
  OK 装備lift:hat_t1_v4            中央値比=1663476213851452.750 (n=3, S10)
  OK 装備lift:hat_t1_v6            中央値比=13225060133391917056.000 (n=1, S9)
  OK 装備lift:hat_t1_v7            中央値比=3.554 (n=5, S17)
  OK 装備lift:hat_t1_v8            中央値比=2.647 (n=1, S2)
  OK 装備lift:shoes_t1_v1          中央値比=12.633 (n=6, S14)
  OK 装備lift:shoes_t1_v2          中央値比=351597.292 (n=2, S13)
  OK 装備lift:shoes_t1_v6          中央値比=2723.943 (n=2, S17)
  OK 装備lift:accA_t1_v1           中央値比=3.168 (n=7, S15)
  OK 装備lift:accA_t1_v4           中央値比=206633195996062.063 (n=1, S14)
  OK 装備lift:accA_t1_v7           中央値比=3.087 (n=6, S17)
  OK 装備lift:accA_t1_v8           中央値比=2.177 (n=3, S4)
  OK 装備lift:accA_t1_v9           中央値比=7070.075 (n=1, S1)
  OK 装備lift:accB_t1_v1           中央値比=3.555 (n=16, S17)
  OK 装備lift:accB_t1_v2           中央値比=2.647 (n=1, S2)
  OK 装備lift:accB_t1_v4           中央値比=4.815 (n=1, S13)
  OK 装備lift:accB_t1_v5           中央値比=206633195996062.063 (n=1, S14)
  OK 装備lift:accB_t1_v6           中央値比=724707.500 (n=1, S15)
  OK 装備lift:accB_t1_v8           中央値比=10.095 (n=3, S17)
  OK 装備lift:weapon_t2_v4         中央値比=1757139152083.450 (n=2, S11)
  OK 装備lift:weapon_t2_v6         中央値比=351597.292 (n=2, S13)
  OK 装備lift:weapon_t2_v9         中央値比=1663476213851452.750 (n=1, S7)
  OK 装備lift:shield_t2_v1         中央値比=3.168 (n=5, S14)
  OK 装備lift:shield_t2_v4         中央値比=6.273267046762322e+21 (n=4, S10)
  OK 装備lift:armorTop_t2_v1       中央値比=3.168 (n=7, S15)
  OK 装備lift:armorTop_t2_v4       中央値比=31171.599 (n=6, S13)
  OK 装備lift:armorTop_t2_v6       中央値比=56.031 (n=1, S11)
