⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S9 中央値比=5.425 (n=10)
  OK 装備lift:hands_t2_v5          min比=4.140 (n=1, S4)
  NG 装備lift:hands_t2_v6          min比=1.222 (n=1, S1)
  OK 装備lift:hands_t2_v7          min比=1.829 (n=1, S2)
  NG 装備lift:hands_t2_v8          min比=1.006 (n=1, S3)
  NG 装備lift:hat_t2_v1            min比=1.000 (n=3, S7)
  OK 装備lift:hat_t2_v2            min比=3.208748614018598e+23 (n=1, S3)
  OK 装備lift:hat_t2_v3            min比=364179428765.851 (n=1, S6)
  NG 装備lift:hat_t2_v5            min比=1.377 (n=1, S8)
  OK 装備lift:hat_t2_v6            min比=6.005 (n=1, S9)
  NG 装備lift:hat_t2_v7            min比=1.222 (n=1, S1)
  OK 装備lift:hat_t2_v8            min比=2.345247462840097e+22 (n=1, S2)
  OK 装備lift:shoes_t2_v1          min比=36.993 (n=2, S9)
  NG 装備lift:shoes_t2_v4          min比=1.006 (n=4, S6)
  NG 装備lift:shoes_t2_v5          min比=1.000 (n=1, S7)
  NG 装備lift:shoes_t2_v6          min比=1.377 (n=1, S8)
  OK 装備lift:shoes_t2_v9          min比=1.0453490287378531e+23 (n=1, S2)
  OK 装備lift:accA_t2_v1           min比=36.993 (n=1, S9)
  NG 装備lift:accA_t2_v3           min比=1.006 (n=3, S4)
  OK 装備lift:accA_t2_v4           min比=375500382.136 (n=1, S5)
  OK 装備lift:accA_t2_v5           min比=2.565 (n=1, S6)
  OK 装備lift:accA_t2_v6           min比=2.282 (n=1, S7)
  OK 装備lift:accA_t2_v7           min比=68212075257889865728.000 (n=1, S8)
  OK 装備lift:accA_t2_v9           min比=21.091 (n=1, S1)
  NG 装備lift:accB_t2_v2           min比=1.222 (n=4, S9)
  NG 装備lift:accB_t2_v3           min比=1.006 (n=1, S3)
  OK 装備lift:accB_t2_v4           min比=2.512 (n=1, S4)
  OK 装備lift:accB_t2_v6           min比=2.282 (n=3, S7)
  NG 装備lift:weapon_t3_v1         min比=1.000 (n=4, S9)
  OK 装備lift:weapon_t3_v3         min比=1.0453490287378531e+23 (n=1, S2)
  OK 装備lift:weapon_t3_v6         min比=4.140 (n=4, S5)
  NG 装備lift:shield_t3_v1         min比=1.000 (n=4, S8)
  OK 装備lift:shield_t3_v4         min比=1.221773144188882e+24 (n=1, S2)
  OK 装備lift:shield_t3_v6         min比=8.846 (n=4, S9)
  NG 装備lift:armorTop_t3_v1       min比=1.000 (n=4, S7)
  OK 装備lift:armorTop_t3_v2       min比=506308195.306 (n=1, S8)
  OK 装備lift:armorTop_t3_v5       min比=39173186410671.836 (n=1, S1)
  OK 装備lift:armorTop_t3_v6       min比=68.905 (n=1, S9)
  OK 装備lift:armorTop_t3_v8       min比=121385748147468800.000 (n=1, S5)
  OK 装備lift:armorTop_t3_v9       min比=65536083424527245312.000 (n=1, S6)
  OK 装備lift:armorBottom_t3_v1    min比=4.633 (n=4, S9)
  OK 装備lift:armorBottom_t3_v2    min比=4.023 (n=1, S7)
  OK 装備lift:armorBottom_t3_v3    min比=506308195.306 (n=1, S8)
  OK 装備lift:armorBottom_t3_v4    min比=123108807611899104.000 (n=1, S5)
  NG 装備lift:armorBottom_t3_v6    min比=1.042 (n=1, S4)
  OK 装備lift:armorBottom_t3_v7    min比=2962541417471535104.000 (n=1, S3)
  OK 装備lift:hands_t3_v1          min比=36.993 (n=3, S9)
  OK 装備lift:hands_t3_v2          min比=7.020 (n=1, S6)
  OK 装備lift:hands_t3_v3          min比=31.478 (n=2, S7)
  OK 装備lift:hands_t3_v5          min比=334913234.006 (n=1, S4)
  OK 装備lift:hands_t3_v6          min比=6445149.338 (n=1, S1)
  OK 装備lift:hands_t3_v7          min比=2.345247462840097e+22 (n=1, S2)
  OK 装備lift:hat_t3_v1            min比=4.023 (n=3, S7)
  OK 装備lift:hat_t3_v2            min比=39173186410671.836 (n=2, S3)
  OK 装備lift:hat_t3_v3            min比=7.020 (n=1, S6)
  OK 装備lift:hat_t3_v5            min比=292619867.947 (n=1, S8)
  OK 装備lift:hat_t3_v6            min比=36.993 (n=1, S9)
  OK 装備lift:hat_t3_v8            min比=15888650403175.430 (n=1, S2)
  OK 装備lift:shoes_t3_v1          min比=59.890 (n=3, S9)
  OK 装備lift:shoes_t3_v3          min比=334913234.006 (n=1, S4)
  OK 装備lift:shoes_t3_v4          min比=121385748147468800.000 (n=2, S5)
  OK 装備lift:shoes_t3_v5          min比=2.282 (n=1, S7)
  OK 装備lift:shoes_t3_v6          min比=68212075257889865728.000 (n=1, S8)
  OK 装備lift:shoes_t3_v9          min比=1.1019963595404607e+21 (n=1, S2)
  OK 装備lift:accA_t3_v1           min比=4.140 (n=3, S9)
