⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S8 中央値比=1000000000.000 (n=10)
  OK 装備lift:accA_t2_v1           中央値比=34849432668.724 (n=2, S10)
  OK 装備lift:accA_t2_v4           中央値比=4.833 (n=1, S13)
  OK 装備lift:accA_t2_v6           中央値比=12517.131 (n=3, S15)
  OK 装備lift:accA_t2_v7           中央値比=1215954.639 (n=3, S14)
  OK 装備lift:accB_t2_v1           中央値比=4.794107698379714e+23 (n=1, S9)
  OK 装備lift:accB_t2_v6           中央値比=9.251 (n=1, S5)
  OK 装備lift:accB_t2_v8           中央値比=1348629198416132.250 (n=2, S17)
  OK 装備lift:weapon_t3_v1         中央値比=6.954 (n=4, S15)
  OK 装備lift:weapon_t3_v4         中央値比=34849432668.724 (n=2, S10)
  OK 装備lift:weapon_t3_v6         中央値比=285066541622126.500 (n=2, S17)
  OK 装備lift:shield_t3_v1         中央値比=12517.131 (n=3, S15)
  OK 装備lift:shield_t3_v4         中央値比=59521805165124816.000 (n=6, S15)
  OK 装備lift:shield_t3_v6         中央値比=1953749.020 (n=1, S11)
  OK 装備lift:armorTop_t3_v1       中央値比=32894165.947 (n=4, S14)
  OK 装備lift:armorTop_t3_v4       中央値比=570133083223709.125 (n=11, S17)
  OK 装備lift:armorBottom_t3_v1    中央値比=1.3084031730448993e+22 (n=2, S13)
  OK 装備lift:armorBottom_t3_v6    中央値比=146643474628155616.000 (n=10, S17)
  OK 装備lift:hands_t3_v1          中央値比=96908481637870752.000 (n=2, S12)
  OK 装備lift:hands_t3_v4          中央値比=2423720566447727616.000 (n=1, S15)
  NG 装備lift:hat_t3_v1            中央値比=0.408 (n=1, S11)
  OK 装備lift:hat_t3_v3            中央値比=2.2423921429419627e+25 (n=1, S6)
  OK 装備lift:hat_t3_v6            中央値比=2.5692748535347056e+35 (n=1, S14)
  OK 装備lift:shoes_t3_v4          中央値比=1.6791338213090753e+21 (n=1, S2)
  OK 装備lift:shoes_t3_v6          中央値比=1.1211960774231616e+25 (n=2, S15)
  OK 装備lift:accA_t3_v1           中央値比=9.123138019367745e+46 (n=1, S9)
  OK 装備lift:accA_t3_v4           中央値比=16183036208907.307 (n=3, S13)
  OK 装備lift:accA_t3_v6           中央値比=570133083223709.125 (n=3, S8)
  OK 装備lift:accB_t3_v1           中央値比=243369200846130688.000 (n=1, S5)
  OK 装備lift:accB_t3_v6           中央値比=1.3084059156965333e+22 (n=2, S13)
  OK 装備lift:accB_t3_v9           中央値比=2.965258717944527e+25 (n=1, S7)
  OK 装備lift:weapon_t4_v1         中央値比=614235.885 (n=6, S15)
  OK 装備lift:weapon_t4_v4         中央値比=9.123138019367745e+46 (n=1, S9)
  OK 装備lift:weapon_t4_v6         中央値比=81715508991562.734 (n=1, S17)
  OK 装備lift:shield_t4_v1         中央値比=2042256874485200896.000 (n=3, S14)
  OK 装備lift:shield_t4_v4         中央値比=42467982496206.195 (n=8, S17)
  OK 装備lift:shield_t4_v9         中央値比=165.063 (n=1, S13)
  OK 装備lift:armorTop_t4_v1       中央値比=1.3084251171073554e+22 (n=4, S13)
  OK 装備lift:armorTop_t4_v4       中央値比=81715508991562.734 (n=9, S17)
  OK 装備lift:armorBottom_t4_v6    中央値比=402581377443.079 (n=2, S17)
  OK 装備lift:armorBottom_t4_v9    中央値比=2.5692748535347056e+35 (n=1, S14)
  OK 装備lift:hands_t4_v1          中央値比=1953749.020 (n=1, S11)
  OK 装備lift:hands_t4_v4          中央値比=146643474628155616.000 (n=2, S5)
  OK 装備lift:hands_t4_v6          中央値比=7260154.952 (n=7, S17)
  OK 装備lift:hat_t4_v1            中央値比=71.579 (n=1, S1)
  OK 装備lift:hat_t4_v6            中央値比=4.936089642123544e+24 (n=11, S17)
  OK 装備lift:shoes_t4_v4          中央値比=3.1934226364562697e+28 (n=1, S2)
  OK 装備lift:shoes_t4_v6          中央値比=1.264723082178269e+27 (n=8, S17)
  OK 装備lift:shoes_t4_v9          中央値比=38425374.195 (n=1, S11)
  OK 装備lift:accA_t4_v1           中央値比=3.4200618307422577e+21 (n=1, S17)
  OK 装備lift:accA_t4_v4           中央値比=117299985941318048.000 (n=4, S17)
  OK 装備lift:accA_t4_v6           中央値比=3.601517158921362e+32 (n=2, S13)
  OK 装備lift:accA_t4_v9           中央値比=69731919.932 (n=1, S7)
  OK 装備lift:accB_t4_v4           中央値比=2.529337196966855e+27 (n=3, S13)
  OK 装備lift:accB_t4_v6           中央値比=2.4680448210617726e+24 (n=2, S12)
  OK 装備lift:accB_t4_v9           中央値比=2423720566447727616.000 (n=1, S15)
  OK 装備lift:weapon_t5_v1         中央値比=1240569061807018752.000 (n=8, S14)
  OK 装備lift:weapon_t5_v4         中央値比=3.8185900613226107e+21 (n=8, S15)
  OK 装備lift:weapon_t5_v6         中央値比=2.9201834655799012e+22 (n=2, S17)
  OK 装備lift:shield_t5_v1         中央値比=3.601517158921362e+32 (n=2, S13)
  OK 装備lift:shield_t5_v4         中央値比=3.86619684053731e+21 (n=9, S17)
  OK 装備lift:shield_t5_v9         中央値比=38425374.195 (n=1, S11)
  OK 装備lift:armorTop_t5_v1       中央値比=4.936089642123544e+24 (n=5, S12)
  OK 装備lift:armorTop_t5_v4       中央値比=3.643129335639784e+21 (n=8, S17)
  OK 装備lift:armorBottom_t5_v6    中央値比=6.221165157658819e+34 (n=1, S1)
  OK 装備lift:armorBottom_t5_v7    中央値比=20676570845881776.000 (n=2, S17)
  OK 装備lift:hands_t5_v1          中央値比=5.4983607480855766e+22 (n=1, S1)
  OK 装備lift:hands_t5_v6          中央値比=2.537218393826615e+38 (n=4, S17)
  OK 装備lift:hat_t5_v6            中央値比=149111116766421280.000 (n=10, S13)
  OK 装備lift:hat_t5_v9            中央値比=5.4983607480855766e+22 (n=1, S1)
  OK 装備lift:shoes_t5_v4          中央値比=2.965258717944527e+25 (n=1, S7)
  OK 装備lift:shoes_t5_v9          中央値比=8186514228066200.000 (n=1, S11)
  OK 装備lift:accA_t5_v4           中央値比=4.936089642123544e+24 (n=9, S15)
  OK 装備lift:accA_t5_v6           中央値比=2832468932337.855 (n=1, S12)
  OK 装備lift:accA_t5_v7           中央値比=5441886312449230.000 (n=2, S11)
  OK 装備lift:accB_t5_v4           中央値比=4.561569009683881e+46 (n=4, S17)
  OK 装備lift:accB_t5_v9           中央値比=3.6021525612586453e+36 (n=1, S5)
  OK 装備lift:weapon_t6_v1         中央値比=4.936089642123544e+24 (n=7, S13)
