⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S4 中央値比=507468807.364 (n=8)
  OK 装備lift:accA_t3_v4           中央値比=995017219578.182 (n=3, S6)
  OK 装備lift:accA_t3_v6           中央値比=127201393807078864.000 (n=1, S5)
  OK 装備lift:accB_t3_v6           中央値比=9227235448061884.000 (n=1, S4)
  OK 装備lift:accB_t3_v9           中央値比=11008140464535390.000 (n=1, S7)
  OK 装備lift:weapon_t4_v1         中央値比=62225.542 (n=3, S9)
  OK 装備lift:weapon_t4_v4         中央値比=6173.774 (n=1, S9)
  OK 装備lift:shield_t4_v1         中央値比=127201393807078864.000 (n=1, S5)
  OK 装備lift:shield_t4_v4         中央値比=24057352009599.461 (n=3, S8)
  OK 装備lift:armorTop_t4_v1       中央値比=871948803949076.125 (n=2, S9)
  OK 装備lift:armorTop_t4_v4       中央値比=11008140464535390.000 (n=5, S8)
  OK 装備lift:armorBottom_t4_v6    中央値比=451792901150217.750 (n=1, S8)
  OK 装備lift:armorBottom_t4_v7    中央値比=1.0354932770570676e+23 (n=1, S2)
  OK 装備lift:hands_t4_v6          中央値比=1756152443427650560.000 (n=3, S7)
  OK 装備lift:hat_t4_v6            中央値比=24057352009599.461 (n=3, S9)
  OK 装備lift:shoes_t4_v4          中央値比=1.1760784042043764e+29 (n=1, S2)
  OK 装備lift:shoes_t4_v6          中央値比=64472645707488504.000 (n=4, S9)
  OK 装備lift:accA_t4_v4           中央値比=535378960742945193984.000 (n=1, S2)
  OK 装備lift:accA_t4_v6           中央値比=9227235448061884.000 (n=1, S4)
  OK 装備lift:accA_t4_v9           中央値比=11008140464535390.000 (n=1, S7)
  OK 装備lift:accB_t4_v4           中央値比=58491785.436 (n=1, S1)
  OK 装備lift:accB_t4_v6           中央値比=3.999107201373539e+35 (n=1, S3)
  OK 装備lift:weapon_t5_v1         中央値比=1743897607898148.750 (n=7, S9)
  OK 装備lift:weapon_t5_v4         中央値比=900811232196573.125 (n=5, S9)
  OK 装備lift:weapon_t5_v6         中央値比=190001711307123.656 (n=1, S1)
  OK 装備lift:shield_t5_v1         中央値比=9227235448061884.000 (n=1, S4)
  OK 装備lift:shield_t5_v4         中央値比=7.371572288205796e+26 (n=5, S8)
  OK 装備lift:armorTop_t5_v1       中央値比=1.9995536006867696e+35 (n=2, S9)
  OK 装備lift:armorTop_t5_v4       中央値比=3.685786144107402e+26 (n=4, S8)
  OK 装備lift:hands_t5_v6          中央値比=1873653174804.425 (n=7, S9)
  OK 装備lift:hat_t5_v6            中央値比=1.1225435214886746e+24 (n=6, S8)
  OK 装備lift:accA_t5_v4           中央値比=6.76721645664046e+26 (n=4, S8)
  OK 装備lift:accB_t5_v4           中央値比=6173.774 (n=1, S9)
  OK 装備lift:accB_t5_v9           中央値比=7.371572288205796e+26 (n=1, S5)
  OK 装備lift:weapon_t6_v1         中央値比=9227235448061884.000 (n=1, S4)
