⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S4 中央値比=507281862.816 (n=8)
  OK 装備lift:accA_t3_v6           中央値比=222888694.526 (n=1, S5)
  OK 装備lift:accB_t3_v6           中央値比=8638089233258516.000 (n=1, S4)
  OK 装備lift:accB_t3_v9           中央値比=10969822226351320.000 (n=1, S7)
  OK 装備lift:weapon_t4_v1         中央値比=59540.253 (n=3, S9)
  OK 装備lift:weapon_t4_v4         中央値比=6173.799 (n=1, S9)
  OK 装備lift:shield_t4_v1         中央値比=222888694.526 (n=1, S5)
  OK 装備lift:shield_t4_v4         中央値比=24054054884805.734 (n=3, S8)
  OK 装備lift:armorTop_t4_v1       中央値比=861329123228280.375 (n=2, S9)
  OK 装備lift:armorTop_t4_v4       中央値比=49549653646622.984 (n=5, S8)
  OK 装備lift:armorBottom_t4_v6    中央値比=3.0968719404855816e+22 (n=1, S8)
  OK 装備lift:armorBottom_t4_v7    中央値比=1.019508822586981e+23 (n=1, S2)
  OK 装備lift:hands_t4_v6          中央値比=1718953680570049024.000 (n=3, S7)
  OK 装備lift:hat_t4_v6            中央値比=24054054884805.734 (n=3, S9)
  OK 装備lift:shoes_t4_v4          中央値比=1.2376879155871494e+28 (n=1, S2)
  OK 装備lift:shoes_t4_v6          中央値比=861329234672625.875 (n=4, S9)
  OK 装備lift:accA_t4_v4           中央値比=492608967033964724224.000 (n=1, S2)
  OK 装備lift:accA_t4_v6           中央値比=8638089233258516.000 (n=1, S4)
  OK 装備lift:accA_t4_v9           中央値比=10969822226351320.000 (n=1, S7)
  OK 装備lift:accB_t4_v4           中央値比=9.883363400106806e+45 (n=2, S7)
  OK 装備lift:accB_t4_v6           中央値比=3.985776425595002e+35 (n=1, S3)
  OK 装備lift:weapon_t5_v1         中央値比=869425972532495.125 (n=8, S9)
  OK 装備lift:weapon_t5_v4         中央値比=628038235120561.875 (n=5, S9)
  OK 装備lift:weapon_t5_v6         中央値比=191278395580378.938 (n=1, S1)
  OK 装備lift:shield_t5_v1         中央値比=8638089233258516.000 (n=1, S4)
  OK 装備lift:shield_t5_v4         中央値比=3.631212881240886e+26 (n=5, S8)
  OK 装備lift:armorTop_t5_v1       中央値比=1.992888212797501e+35 (n=2, S9)
  OK 装備lift:armorTop_t5_v4       中央値比=1.8156064406213992e+26 (n=4, S8)
  OK 装備lift:hands_t5_v6          中央値比=16193698608433.078 (n=7, S9)
  OK 装備lift:hat_t5_v6            中央値比=9803955729804918.000 (n=6, S8)
  OK 装備lift:shoes_t5_v4          中央値比=1.9766726800213612e+46 (n=1, S7)
  OK 装備lift:accA_t5_v4           中央値比=1.8161669212641056e+28 (n=4, S8)
  OK 装備lift:accB_t5_v4           中央値比=6173.799 (n=1, S9)
  OK 装備lift:accB_t5_v9           中央値比=3.631212881240886e+26 (n=1, S5)
  OK 装備lift:weapon_t6_v1         中央値比=8638089233258516.000 (n=1, S4)
  OK 装備lift:weapon_t6_v4         中央値比=1.5857696095997878e+22 (n=2, S8)
  OK 装備lift:shield_t6_v4         中央値比=1.5857696095997878e+22 (n=2, S8)
  OK 装備lift:armorTop_t6_v1       中央値比=813641022963642007552.000 (n=2, S9)
  OK 装備lift:armorTop_t6_v4       中央値比=1.5857696095997878e+22 (n=2, S8)
  OK 装備lift:armorBottom_t6_v6    中央値比=746672787139938746368.000 (n=1, S5)
  OK 装備lift:hands_t6_v4          中央値比=1.5857696095997878e+22 (n=2, S8)
  OK 装備lift:hands_t6_v6          中央値比=5798930230735941.000 (n=8, S9)
  OK 装備lift:hat_t6_v6            中央値比=813641118602837229568.000 (n=6, S9)
  OK 装備lift:shoes_t6_v4          中央値比=24054054884805.734 (n=1, S1)
  OK 装備lift:shoes_t6_v6          中央値比=5.84175510655418e+22 (n=4, S9)
  OK 装備lift:accA_t6_v4           中央値比=813641336982756917248.000 (n=8, S9)
  OK 装備lift:accB_t6_v4           中央値比=340651341203976.813 (n=6, S9)
新装備(a) 合計 115/116(装備された装備のみ判定対象)
新装備(b) カバレッジ: 117/486 装備済み 未装備: weapon_t1_v2,weapon_t1_v3,weapon_t1_v4,weapon_t1_v5,weapon_t1_v6,weapon_t1_v7,weapon_t1_v8,weapon_t1_v9,shield_t1_v2,shield_t1_v3,shield_t1_v4,shield_t1_v5,shield_t1_v7,shield_t1_v8,shield_t1_v9,armorTop_t1_v2,armorTop_t1_v3,armorTop_t1_v4,armorTop_t1_v5,armorTop_t1_v6,armorTop_t1_v7,armorTop_t1_v8,armorTop_t1_v9,armorBottom_t1_v2,armorBottom_t1_v4,armorBottom_t1_v8,armorBottom_t1_v9,hands_t1_v2,hands_t1_v3,hands_t1_v5,hands_t1_v7,hands_t1_v8,hands_t1_v9,hat_t1_v5,hat_t1_v7,shoes_t1_v3,shoes_t1_v5,shoes_t1_v7,shoes_t1_v8,accA_t1_v2,accA_t1_v4,accA_t1_v5,accA_t1_v6,accA_t1_v8,accA_t1_v9,accB_t1_v4,accB_t1_v5,accB_t1_v6,accB_t1_v9,weapon_t2_v2,weapon_t2_v3,weapon_t2_v5,weapon_t2_v7,weapon_t2_v8,weapon_t2_v9,shield_t2_v2,shield_t2_v3,shield_t2_v5,shield_t2_v6,shield_t2_v7,shield_t2_v8,shield_t2_v9,armorTop_t2_v2,armorTop_t2_v3,armorTop_t2_v5,armorTop_t2_v6,armorTop_t2_v7,armorTop_t2_v8,armorTop_t2_v9,armorBottom_t2_v2,armorBottom_t2_v3,armorBottom_t2_v5,armorBottom_t2_v8,armorBottom_t2_v9,hands_t2_v2,hands_t2_v3,hands_t2_v4,hands_t2_v5,hands_t2_v7,hands_t2_v8,hands_t2_v9,hat_t2_v2,hat_t2_v4,hat_t2_v5,hat_t2_v7,hat_t2_v8,shoes_t2_v2,shoes_t2_v3,shoes_t2_v4,shoes_t2_v5,shoes_t2_v7,shoes_t2_v8,accA_t2_v2,accA_t2_v3,accA_t2_v5,accA_t2_v6,accA_t2_v8,accA_t2_v9,accB_t2_v2,accB_t2_v3,accB_t2_v4,accB_t2_v5,accB_t2_v7,accB_t2_v8,accB_t2_v9,weapon_t3_v2,weapon_t3_v3,weapon_t3_v5,weapon_t3_v6,weapon_t3_v7,weapon_t3_v8,weapon_t3_v9,shield_t3_v2,shield_t3_v3,shield_t3_v5,shield_t3_v6,shield_t3_v7,shield_t3_v8,shield_t3_v9,armorTop_t3_v2,armorTop_t3_v3,armorTop_t3_v5,armorTop_t3_v6,armorTop_t3_v7,armorTop_t3_v8,armorTop_t3_v9,armorBottom_t3_v1,armorBottom_t3_v2,armorBottom_t3_v3,armorBottom_t3_v4,armorBottom_t3_v5,armorBottom_t3_v7,armorBottom_t3_v8,armorBottom_t3_v9,hands_t3_v2,hands_t3_v3,hands_t3_v4,hands_t3_v5,hands_t3_v6,hands_t3_v7,hands_t3_v8,hands_t3_v9,hat_t3_v1,hat_t3_v2,hat_t3_v3,hat_t3_v4,hat_t3_v5,hat_t3_v7,hat_t3_v8,hat_t3_v9,shoes_t3_v1,shoes_t3_v2,shoes_t3_v3,shoes_t3_v5,shoes_t3_v7,shoes_t3_v8,shoes_t3_v9,accA_t3_v2,accA_t3_v3,accA_t3_v5,accA_t3_v7,accA_t3_v8,accA_t3_v9,accB_t3_v1,accB_t3_v2,accB_t3_v3,accB_t3_v4,accB_t3_v5,accB_t3_v7,accB_t3_v8,weapon_t4_v2,weapon_t4_v3,weapon_t4_v5,weapon_t4_v6,weapon_t4_v7,weapon_t4_v8,weapon_t4_v9,shield_t4_v2,shield_t4_v3,shield_t4_v5,shield_t4_v6,shield_t4_v7,shield_t4_v8,shield_t4_v9,armorTop_t4_v2,armorTop_t4_v3,armorTop_t4_v5,armorTop_t4_v6,armorTop_t4_v7,armorTop_t4_v8,armorTop_t4_v9,armorBottom_t4_v1,armorBottom_t4_v2,armorBottom_t4_v3,armorBottom_t4_v4,armorBottom_t4_v5,armorBottom_t4_v8,armorBottom_t4_v9,hands_t4_v1,hands_t4_v2,hands_t4_v3,hands_t4_v4,hands_t4_v5,hands_t4_v7,hands_t4_v8,hands_t4_v9,hat_t4_v1,hat_t4_v2,hat_t4_v3,hat_t4_v4,hat_t4_v5,hat_t4_v7,hat_t4_v8,hat_t4_v9,shoes_t4_v1,shoes_t4_v2,shoes_t4_v3,shoes_t4_v5,shoes_t4_v7,shoes_t4_v8,shoes_t4_v9,accA_t4_v1,accA_t4_v2,accA_t4_v3,accA_t4_v5,accA_t4_v7,accA_t4_v8,accB_t4_v1,accB_t4_v2,accB_t4_v3,accB_t4_v5,accB_t4_v7,accB_t4_v8,accB_t4_v9,weapon_t5_v2,weapon_t5_v3,weapon_t5_v5,weapon_t5_v7,weapon_t5_v8,weapon_t5_v9,shield_t5_v2,shield_t5_v3,shield_t5_v5,shield_t5_v6,shield_t5_v7,shield_t5_v8,shield_t5_v9,armorTop_t5_v2,armorTop_t5_v3,armorTop_t5_v5,armorTop_t5_v6,armorTop_t5_v7,armorTop_t5_v8,armorTop_t5_v9,armorBottom_t5_v1,armorBottom_t5_v2,armorBottom_t5_v3,armorBottom_t5_v4,armorBottom_t5_v5,armorBottom_t5_v6,armorBottom_t5_v7,armorBottom_t5_v8,armorBottom_t5_v9,hands_t5_v1,hands_t5_v2,hands_t5_v3,hands_t5_v4,hands_t5_v5,hands_t5_v7,hands_t5_v8,hands_t5_v9,hat_t5_v1,hat_t5_v2,hat_t5_v3,hat_t5_v4,hat_t5_v5,hat_t5_v7,hat_t5_v8,hat_t5_v9,shoes_t5_v1,shoes_t5_v2,shoes_t5_v3,shoes_t5_v5,shoes_t5_v6,shoes_t5_v7,shoes_t5_v8,shoes_t5_v9,accA_t5_v1,accA_t5_v2,accA_t5_v3,accA_t5_v5,accA_t5_v6,accA_t5_v7,accA_t5_v8,accA_t5_v9,accB_t5_v1,accB_t5_v2,accB_t5_v3,accB_t5_v5,accB_t5_v6,accB_t5_v7,accB_t5_v8,weapon_t6_v2,weapon_t6_v3,weapon_t6_v5,weapon_t6_v6,weapon_t6_v7,weapon_t6_v8,weapon_t6_v9,shield_t6_v1,shield_t6_v2,shield_t6_v3,shield_t6_v5,shield_t6_v6,shield_t6_v7,shield_t6_v8,shield_t6_v9,armorTop_t6_v2,armorTop_t6_v3,armorTop_t6_v5,armorTop_t6_v6,armorTop_t6_v7,armorTop_t6_v8,armorTop_t6_v9,armorBottom_t6_v1,armorBottom_t6_v2,armorBottom_t6_v3,armorBottom_t6_v4,armorBottom_t6_v5,armorBottom_t6_v7,armorBottom_t6_v8,armorBottom_t6_v9,hands_t6_v1,hands_t6_v2,hands_t6_v3,hands_t6_v5,hands_t6_v7,hands_t6_v8,hands_t6_v9,hat_t6_v1,hat_t6_v2,hat_t6_v3,hat_t6_v5,hat_t6_v7,hat_t6_v8,hat_t6_v9,shoes_t6_v1,shoes_t6_v2,shoes_t6_v3,shoes_t6_v5,shoes_t6_v7,shoes_t6_v8,shoes_t6_v9,accA_t6_v1,accA_t6_v2,accA_t6_v3,accA_t6_v5,accA_t6_v6,accA_t6_v7,accA_t6_v8,accA_t6_v9,accB_t6_v1,accB_t6_v2,accB_t6_v3,accB_t6_v5,accB_t6_v6,accB_t6_v7,accB_t6_v8,accB_t6_v9
