S1: own=38 cum=38 last=3.0e+268
S2: own=32 cum=60 last=1.2e+264
S3: own=30 cum=73 last=6.2e+269
S4: own=35 cum=89 last=7.9e+265
S5: own=40 cum=95 last=3.5e+300
S6: own=41 cum=100 last=1.3e+272
S7: own=33 cum=106 last=4.9e+289
S8: own=40 cum=112 last=4.9e+271
S9: own=37 cum=118 last=1.2e+281
COVERAGE 100h: 118/486
