S1: own=35 cum=35 last=1.5e+269
S2: own=31 cum=60 last=1.7e+264
S3: own=29 cum=73 last=Infinity
S4: own=36 cum=95 last=2.0e+271
S5: own=39 cum=103 last=3.9e+291
S6: own=37 cum=110 last=3.5e+263
S7: own=33 cum=119 last=5.6e+289
S8: own=34 cum=126 last=8.8e+271
S9: own=31 cum=131 last=1.1e+292
S10: own=28 cum=131 last=2.0e+278
S11: own=34 cum=142 last=2.6e+271
